Timestamp,Date,Date UTC,Open,High,Low,Close,Volume
1721925600,25-07-2024,1721925600,220.61,220.85,220.45,220.54,376218
1721925900,25-07-2024,1721925900,220.52,220.61,220.37,220.5,282622
1721926200,25-07-2024,1721926200,220.49,220.64,219.95,220.06,314537
1721926500,25-07-2024,1721926500,220.07,220.32,220,220.21,217466
1721926800,25-07-2024,1721926800,220.2,220.61,220.03,220.5,229406
1721927100,25-07-2024,1721927100,220.49,220.71,220.37,220.65,200791
1721927400,25-07-2024,1721927400,220.65,220.78,220.23,220.33,233738
1721927700,25-07-2024,1721927700,220.35,220.43,219.77,219.81,266738
1721928000,25-07-2024,1721928000,219.81,219.97,219.27,219.31,462049
1721928300,25-07-2024,1721928300,219.32,219.68,219.3,219.42,760281
1721928600,25-07-2024,1721928600,219.43,219.96,219.36,219.9,221558
1721928900,25-07-2024,1721928900,219.9,220.06,219.74,220.01,346777
1721929200,25-07-2024,1721929200,220.01,220.15,219.9,220.13,250913
1721929500,25-07-2024,1721929500,220.13,220.19,219.74,220.09,264427
1721929800,25-07-2024,1721929800,220.07,220.35,220,220.3,253167
1721930100,25-07-2024,1721930100,220.29,220.48,220.11,220.35,273335
1721930400,25-07-2024,1721930400,220.35,220.43,219.96,219.97,267451
1721930700,25-07-2024,1721930700,219.98,220.19,219.69,219.71,285044
1721931000,25-07-2024,1721931000,219.74,220.03,219.63,219.88,276886
1721931300,25-07-2024,1721931300,219.93,220.11,219.64,219.82,266445
1721931600,25-07-2024,1721931600,219.82,219.85,219.54,219.57,222574
1721931900,25-07-2024,1721931900,219.59,220,219.58,219.88,222512
1721932200,25-07-2024,1721932200,219.86,220.3,219.86,220.29,224090
1721932500,25-07-2024,1721932500,220.29,220.33,220.02,220.33,256430
1721932800,25-07-2024,1721932800,220.33,220.34,219.92,220.05,289966
1721933100,25-07-2024,1721933100,220.06,220.08,219.16,219.19,410029
1721933400,25-07-2024,1721933400,219.19,219.42,218.78,218.85,320093
1721933700,25-07-2024,1721933700,218.87,218.99,218.64,218.64,505540
1721934000,25-07-2024,1721934000,218.63,219.37,218.62,219.3,390441
1721934300,25-07-2024,1721934300,219.32,219.6,219.26,219.46,299350
1721934600,25-07-2024,1721934600,219.46,219.62,219.36,219.51,292218
1721934900,25-07-2024,1721934900,219.5,219.61,219.12,219.45,286935
1721935200,25-07-2024,1721935200,219.47,220.01,219.29,219.7,311011
1721935500,25-07-2024,1721935500,219.66,220.42,219.66,220.13,336699
1721935800,25-07-2024,1721935800,220.1,220.27,219.74,219.78,307322
1721936100,25-07-2024,1721936100,219.82,219.83,219.07,219.2,331711
1721936400,25-07-2024,1721936400,219.2,219.43,218.93,219.35,417959
1721936700,25-07-2024,1721936700,219.33,219.39,218.78,219.27,485093
1721937000,25-07-2024,1721937000,219.25,219.25,218.01,218.08,991645
1721937300,25-07-2024,1721937300,218.07,218.23,217.33,217.49,3133456
1722000600,26-07-2024,1722000600,218.85,219.15,217.12,217.16,2285097
1722000900,26-07-2024,1722000900,217.15,217.92,216.8,217.32,1181463
1722001200,26-07-2024,1722001200,217.3,217.5,216.28,217.22,1119149
1722001500,26-07-2024,1722001500,217.24,217.52,216.43,216.51,779815
1722001800,26-07-2024,1722001800,216.52,217.49,216.46,216.98,719750
1722002100,26-07-2024,1722002100,216.99,217.85,216.92,217.68,752491
1722002400,26-07-2024,1722002400,217.66,217.94,216.65,216.68,857766
1722002700,26-07-2024,1722002700,216.68,216.87,216.01,216.52,909175
1722003000,26-07-2024,1722003000,216.51,217.12,216.41,216.5,564607
1722003300,26-07-2024,1722003300,216.49,217.03,216.47,216.97,566397
1722003600,26-07-2024,1722003600,216.97,217.51,216.85,217.35,487769
1722003900,26-07-2024,1722003900,217.37,217.95,217.24,217.4,599062
1722004200,26-07-2024,1722004200,217.4,217.59,216.6,216.62,511846
1722004500,26-07-2024,1722004500,216.63,217.01,216.46,216.84,381175
1722004800,26-07-2024,1722004800,216.87,217.26,216.63,216.94,385097
1722005100,26-07-2024,1722005100,216.94,217.04,216.64,217,315661
1722005400,26-07-2024,1722005400,217,217.13,216.85,216.89,324575
1722005700,26-07-2024,1722005700,216.87,217.61,216.82,217.51,449134
1722006000,26-07-2024,1722006000,217.51,217.9,217.39,217.9,391791
1722006300,26-07-2024,1722006300,217.88,218.13,217.5,217.69,494850
1722006600,26-07-2024,1722006600,217.7,217.85,217.47,217.82,313155
